position,gsis_id,display_name,sleeper_id
TE,00-0039793,AJ Barner,11603
TE,00-0039814,Erick All,11592
TE,00-0039824,Jared Wiley,11595
TE,00-0039847,Theo Johnson,11597
TE,00-0039912,Ben Sinnott,11596
TE,00-0040126,Colston Loveland,12517
TE,00-0040128,Tyler Warren,12518
TE,00-0040187,Mitchell Evans,12473
TE,00-0040189,Oronde Gadsden II,12493
TE,00-0040194,Jackson Hawes,12658
TE,00-0040215,Gavin Bartholomew,12700
TE,00-0040225,Thomas Fidone II,12715
TE,00-0040250,Luke Lachey,12725
TE,00-0040392,Caden Prieskorn,12933
